Station.City,City Encoding,Service
Salisbury,133,"0.0, 48.0, 28.0"
Boston,134,"0.0, 41.0, 31.0"
Milton,135,"0.0, 60.0, 60.0"
Worcester,136,"0.0, 35.0, 26.0"
Alpena,137,"0.01, 32.0, 21.0"
Detroit,138,"0.0, 36.0, 27.0"
Flint,139,"0.05, 34.0, 27.0"
Grand Rapids,140,"0.04, 33.0, 26.0"
Houghton Lake,141,"0.08, 30.0, 21.0"
Lansing,142,"0.04, 32.0, 25.0"
Marquette,143,"0.21, 27.0, 18.0"
Muskegon,144,"0.0, 35.0, 27.0"
Sault Ste Marie,145,"0.04, 31.0, 17.0"
Duluth,146,"0.0, 27.0, 17.0"
International Falls,147,"0.0, 25.0, 15.0"
Minneapolis,148,"0.0, 30.0, 16.0"
Rochester,149,"0.0, 26.0, 13.0"
St Cloud,150,"0.0, 29.0, 10.0"
Greenville,151,"0.0, 48.0, 35.0"
Greenwood,152,"0.0, 48.0, 32.0"
Gulfport,153,"0.38, 52.0, 42.0"
Hattiesburg,154,"0.02, 51.0, 40.0"
Meridian,155,"0.01, 49.0, 36.0"
Tupelo,156,"0.0, 50.0, 31.0"
Cape Girardeau,157,"0.0, 46.0, 27.0"
Columbia,158,"0.0, 41.0, 24.0"
Kansas City,159,"0.0, 38.0, 20.0"
Rolla/Vichy,160,"0.0, 41.0, 24.0"
St Joseph,161,"0.0, 36.0, 16.0"
St Louis,162,"0.0, 43.0, 29.0"
Billings,163,"0.0, 29.0, 16.0"
Butte,164,"0.0, 13.0, -12.0"
Cut Bank,165,"0.0, 22.0, -6.0"
Dillon,166,"0.0, 16.0, -2.0"
Glasgow,167,"0.0, 18.0, -1.0"
Great Falls,168,"0.0, 27.0, 7.0"
Havre,169,"0.0, 20.0, 0.0"
Helena,170,"0.0, 12.0, -5.0"
Kalispell,171,"0.01, 16.0, -3.0"
Miles City,172,"0.0, 31.0, 6.0"
Missoula,173,"0.0, 16.0, -2.0"
Grand Island,174,"0.0, 37.0, 15.0"
Lincoln,175,"0.0, 36.0, 16.0"
Norfolk,176,"0.0, 32.0, 12.0"
North Platte,177,"0.0, 43.0, 8.0"
Omaha,178,"0.0, 31.0, 12.0"
Scottsbluff,179,"0.0, 31.0, 5.0"
Sidney,180,"0.0, 33.0, 8.0"
Valentine,181,"0.0, 34.0, 7.0"
Ely,182,"0.0, 22.0, -8.0"
Las Vegas,183,"0.0, 52.0, 35.0"
Mercury,184,"0.0, 47.0, 30.0"
Reno,185,"0.0, 29.0, 15.0"
Winnemucca,186,"0.0, 25.0, -1.0"
Mt. Washington,187,"0.0, 60.0, 60.0"
Atlantic City,188,"0.0, 46.0, 26.0"
Albuquerque,189,"0.0, 38.0, 23.0"
Clayton,190,"0.0, 46.0, 15.0"
Roswell,191,"0.02, 36.0, 17.0"
Albany,192,"0.01, 38.0, 28.0"
Binghamton,193,"0.01, 30.0, 21.0"
Buffalo,194,"0.13, 34.0, 23.0"
Glens Falls,195,"0.01, 37.0, 29.0"
Islip,196,"0.0, 44.0, 30.0"
New York,197,"0.0, 43.0, 35.0"
Syracuse,198,"0.19, 34.0, 23.0"
Asheville,199,"0.0, 46.0, 30.0"
Cape Hatteras,200,"0.16, 56.0, 44.0"
Charlotte,201,"0.0, 53.0, 33.0"
Greensboro,202,"0.0, 51.0, 31.0"
Hickory,203,"0.0, 53.0, 32.0"
Raleigh/Durham,204,"0.0, 52.0, 35.0"
Bismarck,205,"0.0, 30.0, 12.0"
Dickinson,206,"0.0, 30.0, 9.0"
Fargo,207,"0.0, 28.0, 12.0"
Grand Forks,208,"0.0, 28.0, 10.0"
Williston,209,"0.0, 26.0, 9.0"
Akron,210,"0.05, 32.0, 25.0"
Cleveland,211,"0.02, 32.0, 26.0"
Columbus,212,"0.0, 35.0, 26.0"
Dayton,213,"0.0, 35.0, 24.0"
Mansfield,214,"0.0, 31.0, 23.0"
Toledo,215,"0.0, 31.0, 25.0"
Youngstown/Warren,216,"0.03, 32.0, 24.0"
Gage,217,"0.0, 47.0, 18.0"
Oklahoma City,218,"0.0, 46.0, 24.0"
Ponca City,219,"0.0, 47.0, 20.0"
Tulsa,220,"0.0, 48.0, 24.0"
Astoria,221,"0.21, 42.0, 30.0"
Burns,222,"0.06, 21.0, -6.0"
Eugene,223,"0.06, 36.0, 23.0"
Medford,224,"0.01, 43.0, 24.0"
Pendleton,225,"0.01, 20.0, 17.0"
Redmond,226,"0.0, 24.0, 6.0"
Salem,227,"0.29, 38.0, 25.0"
Allentown,228,"0.0, 41.0, 25.0"
Erie,229,"0.31, 33.0, 26.0"
Harrisburg,230,"0.0, 43.0, 29.0"
Philadelphia,231,"0.0, 45.0, 31.0"
Pittsburgh,232,"0.01, 35.0, 27.0"
Wilkes-Barre/Scranton,233,"0.0, 35.0, 28.0"
Williamsport,234,"0.01, 35.0, 25.0"
San Juan,235,"0.05, 83.0, 71.0"
Providence,236,"0.0, 43.0, 28.0"
Anderson,237,"0.0, 54.0, 35.0"
Charleston,238,"0.55, 61.0, 45.0"
Greer,239,"0.0, 55.0, 35.0"
Aberdeen,240,"0.0, 29.0, 7.0"
Huron,241,"0.0, 26.0, 9.0"
Pierre,242,"0.0, 29.0, 15.0"
Rapid City,243,"0.0, 37.0, 11.0"
Sioux Falls,244,"0.0, 26.0, 9.0"
Bristol/Jhnsn Cty/Kngsprt,245,"0.0, 44.0, 24.0"
Chattanooga,246,"0.0, 48.0, 31.0"
Clarksville,247,"0.0, 47.0, 27.0"
Crossville,248,"0.0, 44.0, 24.0"
Knoxville,249,"0.0, 45.0, 27.0"
Memphis,250,"0.0, 51.0, 29.0"
Nashville,251,"0.0, 50.0, 28.0"
Oak Ridge,252,"0.0, 47.0, 27.0"
Abilene,253,"0.0, 47.0, 34.0"
Amarillo,254,"0.0, 45.0, 22.0"
Austin/Bergstrom,255,"0.22, 53.0, 40.0"
Austin/City,256,"0.2, 52.0, 42.0"
Beaumont/Port Arthur,257,"0.02, 53.0, 43.0"
Brownsville,258,"1.54, 50.0, 42.0"
Childress,259,"0.0, 47.0, 29.0"
College Station,260,"0.01, 53.0, 43.0"
Corpus Christi,261,"1.81, 51.0, 42.0"
Dalhart,262,"0.0, 50.0, 19.0"
Dallas,263,"0.0, 51.0, 36.0"
Dallas-Fort Worth,264,"0.0, 53.0, 38.0"
Del Rio,265,"0.57, 51.0, 42.0"
El Paso,266,"0.0, 44.0, 31.0"
Fort Worth,267,"0.0, 52.0, 36.0"
Galveston,268,"0.23, 52.0, 44.0"
Houston,269,"0.09, 54.0, 45.0"
Lubbock,270,"0.0, 43.0, 25.0"
Midland,271,"0.04, 43.0, 31.0"
San Angelo,272,"0.0, 48.0, 35.0"
San Antonio,273,"1.04, 52.0, 41.0"
Victoria,274,"1.29, 52.0, 42.0"
Waco,275,"0.0, 51.0, 39.0"
Wichita Falls,276,"0.0, 48.0, 31.0"
Salt Lake City,277,"0.0, 24.0, 7.0"
Blacksburg,278,"0.0, 49.0, 33.0"
Burlington,279,"0.03, 35.0, 26.0"
Lynchburg,280,"0.0, 49.0, 29.0"
Richmond,281,"0.0, 51.0, 30.0"
Roanoke,282,"0.0, 49.0, 33.0"
Wallops Island,283,"0.0, 49.0, 33.0"
Washington,284,"0.0, 49.0, 33.0"
Deer Park,285,"0.07, 22.0, -2.0"
Ephrata,286,"0.07, 20.0, 3.0"
Olympia,287,"0.02, 37.0, 14.0"
Quillayute,288,"0.0, 46.0, 22.0"
Seattle,289,"0.02, 42.0, 28.0"
Spokane,290,"0.09, 20.0, 3.0"
Yakima,291,"0.26, 24.0, 8.0"
Beckley,292,"0.0, 40.0, 26.0"
Elkins,293,"0.0, 38.0, 27.0"
Huntington,294,"0.0, 43.0, 28.0"
Green Bay,295,"0.0, 28.0, 17.0"
La Crosse,296,"0.0, 32.0, 17.0"
Madison,297,"0.0, 29.0, 18.0"
Milwaukee,298,"0.0, 30.0, 21.0"
Casper,299,"0.0, 28.0, 13.0"
Cheyenne,300,"0.0, 38.0, 7.0"
Lander,301,"0.0, 21.0, 0.0"
Rawlins,302,"0.0, 19.0, -13.0"
Sheridan,303,"0.0, 36.0, 7.0"
