City, City Encoding, Service
Seoul,0,"427"
Busan,1,"33"
Daegu,2,"61"
Incheon,3,"74"
Gwangju,4,"5"
Daejeon,5,"13"
Ulsan,6,"9"
Sejong,7,"6"
Jeju,8,"6"
